account_number,name
5390,Production supplies and packaging (53-3)
5400,Manufacturing overhead (54-1)
5410,Manufacturing overhead (54-2)
5490,Manufacturing overhead (54-3)
5500,Product handling & delivery (55-1)
5510,Product handling & delivery (55-2)
5590,Product handling & delivery (55-3)
5600,Royalties & production fees (56-1)
5610,Royalties & production fees (56-2)
5690,Royalties & production fees (56-3)
5700,Warranty costs (COGS) (57-1)
5710,Warranty costs (COGS) (57-2)
5790,Warranty costs (COGS) (57-3)
5800,Marketplace selling fees (Amazon/Shopify) (58-1)
5810,Marketplace selling fees (Amazon/Shopify) (58-2)
5890,Marketplace selling fees (Amazon/Shopify) (58-3)
5900,Other direct costs (59-1)
5910,Other direct costs (59-2)
5990,Other direct costs (59-3)
6000,General administrative expenses (600-1)
6005,General administrative expenses (600-2)
6010,Advertising & marketing (601-1)
6020,General administrative expenses (602-1)
6025,General administrative expenses (602-2)
6030,General administrative expenses (603-1)
6035,General administrative expenses (603-2)
6040,Office expenses and supplies (604-1)
6045,Office expenses and supplies (604-2)
6050,Utilities (605-1)
6055,Utilities (605-2)
6060,Rent and lease expenses (606-1)
6065,Rent and lease expenses (606-2)
6070,Professional & consulting fees (607-1)
6075,Professional & consulting fees (607-2)
6080,Insurance (608-1)
6085,Insurance (608-2)
6090,Bank & payment processing fees (609-1)
6095,Bank & payment processing fees (609-2)
6100,"Travel, meals and entertainment (610-1)"
6105,"Travel, meals and entertainment (610-2)"
6110,General administrative expenses (611-1)
6115,General administrative expenses (611-2)
6120,Vehicle expenses (612-1)
6125,Vehicle expenses (612-2)
6130,Expected credit losses (IFRS 9) (613-1)
6135,Expected credit losses (IFRS 9) (613-2)
6140,General administrative expenses (614-1)
6145,General administrative expenses (614-2)
6150,General administrative expenses (615-1)
6155,General administrative expenses (615-2)
6160,General administrative expenses (616-1)
6165,General administrative expenses (616-2)
6170,General administrative expenses (617-1)
6175,General administrative expenses (617-2)
6180,General administrative expenses (618-1)
6185,General administrative expenses (618-2)
6190,General administrative expenses (619-1)
6195,General administrative expenses (619-2)
6200,Depreciation and amortisation (620-1)
6205,Depreciation and amortisation (620-2)
6210,Depreciation and amortisation (621-1)
6215,Depreciation and amortisation (621-2)
6220,Depreciation and amortisation (622-1)
6225,Depreciation and amortisation (622-2)
6230,IT & cloud subscriptions (623-1)
6235,IT & cloud subscriptions (623-2)
6240,IT & cloud subscriptions (624-1)
6245,IT & cloud subscriptions (624-2)
6250,IT & cloud subscriptions (625-1)
6255,IT & cloud subscriptions (625-2)
6260,IT & cloud subscriptions (626-1)
6265,IT & cloud subscriptions (626-2)
6270,IT & cloud subscriptions (627-1)
6275,IT & cloud subscriptions (627-2)
6280,IT & cloud subscriptions (628-1)
6285,IT & cloud subscriptions (628-2)
6290,IT & cloud subscriptions (629-1)
6295,IT & cloud subscriptions (629-2)
6300,Employee benefits expense (630-1)
6305,Employee benefits expense (630-2)
6310,Contractors & subcontractors (OpEx) (631-1)
6315,Contractors & subcontractors (OpEx) (631-2)
6320,Repairs & maintenance (632-1)
6325,Repairs & maintenance (632-2)
6330,Repairs & maintenance (633-1)
6335,Repairs & maintenance (633-2)
6340,Repairs & maintenance (634-1)
6345,Repairs & maintenance (634-2)
6350,Repairs & maintenance (635-1)
6355,Repairs & maintenance (635-2)
6360,Repairs & maintenance (636-1)
6365,Repairs & maintenance (636-2)
6370,Repairs & maintenance (637-1)
6375,Repairs & maintenance (637-2)
6380,Repairs & maintenance (638-1)
6385,Repairs & maintenance (638-2)
6390,Repairs & maintenance (639-1)
6395,Repairs & maintenance (639-2)
6400,Other operating expenses (64-1)
6410,Other operating expenses (64-2)
6490,Other operating expenses (64-3)
6500,Other operating expenses (65-1)
6510,Other operating expenses (65-2)
6530,IT & cloud subscriptions (653-1)
6590,Other operating expenses (65-3)
6600,Other operating expenses (66-1)
6610,Other operating expenses (66-2)
6690,Other operating expenses (66-3)
6700,Other operating expenses (67-1)
6710,Other operating expenses (67-2)
6790,Other operating expenses (67-3)
6800,Other operating expenses (68-1)
6810,Other operating expenses (68-2)
6890,Other operating expenses (68-3)
6900,Other operating expenses (69-1)
6910,Other operating expenses (69-2)
6990,Other operating expenses (69-3)
7000,Interest and other financial income (70-1)
7010,Interest and other financial income (70-2)
7090,Interest and other financial income (70-3)
7100,Interest expense and finance costs (710-1)
7105,Interest expense and finance costs (710-2)
7110,Interest expense and finance costs (711-1)
7115,Interest expense and finance costs (711-2)
7120,Interest expense and finance costs (712-1)
7125,Interest expense and finance costs (712-2)
7130,Interest expense and finance costs (713-1)
7135,Interest expense and finance costs (713-2)
7140,Interest expense and finance costs (714-1)
7145,Interest expense and finance costs (714-2)
7150,Interest expense and finance costs (715-1)
7155,Interest expense and finance costs (715-2)
7160,Interest expense and finance costs (716-1)
7165,Interest expense and finance costs (716-2)
7170,Interest expense and finance costs (717-1)
7175,Interest expense and finance costs (717-2)
7180,Interest expense and finance costs (718-1)
7185,Interest expense and finance costs (718-2)
7190,Foreign exchange gain (loss) (719-1)
7195,Foreign exchange gain (loss) (719-2)
7200,Other financial gains or losses (72-1)
7210,Other financial gains or losses (72-2)
7290,Other financial gains or losses (72-3)
7300,Other financial gains or losses (73-1)
7310,Other financial gains or losses (73-2)
7390,Other financial gains or losses (73-3)
7400,Other financial gains or losses (74-1)
7410,Other financial gains or losses (74-2)
7490,Other financial gains or losses (74-3)
7500,Other financial gains or losses (75-1)
7510,Other financial gains or losses (75-2)
7590,Other financial gains or losses (75-3)
7600,Other financial gains or losses (76-1)
7610,Other financial gains or losses (76-2)
7690,Other financial gains or losses (76-3)
7700,Other financial gains or losses (77-1)
7710,Other financial gains or losses (77-2)
7790,Other financial gains or losses (77-3)
7800,Other financial gains or losses (78-1)
7810,Other financial gains or losses (78-2)
7890,Other financial gains or losses (78-3)
7900,Other financial gains or losses (79-1)
7910,Other financial gains or losses (79-2)
7990,Other financial gains or losses (79-3)
8000,Current income tax expense (800-1)
8005,Current income tax expense (800-2)
8010,Current income tax expense (801-1)
8015,Current income tax expense (801-2)
8020,Deferred income tax expense (802-1)
8025,Deferred income tax expense (802-2)
8030,Current income tax expense (803-1)
8035,Current income tax expense (803-2)
8040,Current income tax expense (804-1)
8045,Current income tax expense (804-2)
8050,Current income tax expense (805-1)
8055,Current income tax expense (805-2)
8060,Current income tax expense (806-1)
8065,Current income tax expense (806-2)
8070,Current income tax expense (807-1)
8075,Current income tax expense (807-2)
8080,Current income tax expense (808-1)
8085,Current income tax expense (808-2)
8090,Current income tax expense (809-1)
8095,Current income tax expense (809-2)
8100,Other income tax expenses (81-1)
8110,Other income tax expenses (81-2)
8190,Other income tax expenses (81-3)
8200,Other income tax expenses (82-1)
8210,Other income tax expenses (82-2)
8290,Other income tax expenses (82-3)
8300,Other income tax expenses (83-1)
8310,Other income tax expenses (83-2)
8390,Other income tax expenses (83-3)
8400,Other income tax expenses (84-1)
8410,Other income tax expenses (84-2)
8490,Other income tax expenses (84-3)
8500,Other income tax expenses (85-1)
8510,Other income tax expenses (85-2)
8590,Other income tax expenses (85-3)
8600,Other income tax expenses (86-1)
8610,Other income tax expenses (86-2)
8690,Other income tax expenses (86-3)
8700,Other income tax expenses (87-1)
8710,Other income tax expenses (87-2)
8790,Other income tax expenses (87-3)
8800,Other income tax expenses (88-1)
8810,Other income tax expenses (88-2)
8890,Other income tax expenses (88-3)
8900,Other income tax expenses (89-1)
8910,Other income tax expenses (89-2)
8990,Other income tax expenses (89-3)
