display_order,id,name,type,level,accounts_to_include,accounts_to_exclude,formula,canonical_measure,notes
640,54,IT & cloud subscriptions,acc,3,623*;624*;625*;626*;627*;628*;629*,,,,"IT services, software licences, SaaS and cloud subscriptions"
650,55,Repairs & maintenance,acc,3,632*;633*;634*;635*;636*;637*;638*;639*,,,,"Repairs, maintenance and cleaning for premises and equipment"
660,56,Other operating expenses,acc,3,64*;65*;66*;67*;68*;69*,,,,Other operating expenses not classified in the categories above
665,57,Total external operating expenses,calc,2,,,=42+43+44+45+46+47+48+49+50+51+52+53+54+55+56,external_charges,Total external operating expenses
670,60,Depreciation & amortization,acc,3,620*;621*;622*,,,depreciation_amortization,"Depreciation and amortization of property, plant & equipment and intangible assets"
700,70,Total operating expenses,calc,1,,,=41+57+60,total_operating_expenses,Sum of all operating expenses included in operating income
800,80,Operating income,calc,0,,,=30+70,operating_income,Operating income before interest and income taxes (EBIT)
900,90,Interest and other financial income,acc,3,70*,,,financial_income,Interest income and other financial income
910,91,Interest expense and finance costs,acc,3,710*;711*;712*;713*;714*;715*;716*;717*;718*,,,,"Interest expense, financing costs and related loan charges"
920,92,Foreign exchange gain (loss),acc,3,719*,,,,Unrealized and realized gains or losses on foreign currency transactions
930,93,Other financial gains (losses),acc,3,72*;73*;74*;75*;76*;77*;78*;79*,,,,Other financial gains or losses not classified elsewhere
935,94,Total financial expenses,calc,2,,,=91+92+93,financial_expenses,Total financial expenses and losses
940,95,Net financial result,calc,1,,,=90+94,financial_result,Net result of financial income and expenses
1000,100,Income before income taxes,calc,0,,,=80+95,total_operating_income,Income before income taxes (pre-tax income)
1100,110,Current income tax expense,acc,3,800*;801*;803*;804*;805*;806*;807*;808*;809*,,,,Current period income tax expense
1110,111,Deferred income tax expense,acc,3,802*,,,,Deferred income tax expense (or benefit)
1120,112,Other income tax expense,acc,3,81*;82*;83*;84*;85*;86*;87*;88*;89*,,,,Other income tax-related expenses and adjustments
1200,120,Total income tax expense,calc,1,,,=110+111+112,income_tax_expense,"Total income tax expense (current, deferred and other)"
1300,130,Net income,calc,0,,,=100+120,net_income,Net income for the period after income taxes
