display_order,id,name,type,level,accounts_to_include,accounts_to_exclude,formula,canonical_measure,notes
810,81,Quotes-parts de résultat sur opérations faites en commun (produits),acc,3,755*,,,,
820,82,Quotes-parts de résultat sur opérations faites en commun (charges),acc,3,655*,,,,
830,83,Quotes-parts de résultat sur opérations faites en commun,calc,2,,,=81+82,joint_operations_result,
840,84,Produits de participations,acc,3,761*,,,,
850,85,Produits des autres immobilisations financières,acc,3,762*,,,,
860,86,Revenus des autres créances,acc,3,763*,,,,
870,87,Revenus des valeurs mobilières de placement,acc,3,764*,,,,
880,88,Escomptes obtenus,acc,3,765*,,,,
890,89,Gains de change,acc,3,766*,,,,
900,90,Produits nets sur cessions de valeurs mobilières de placement,acc,3,767*,,,,
910,91,Autres produits financiers,acc,3,768*;769*;760*,,,,
920,92,Reprises sur dép. et prov. + transf. de charge produits financiers,acc,3,786*;796*,,,,
930,93,Produits financiers,calc,1,,,=84+85+86+87+88+89+90+91+92,financial_income,
940,94,Charges d'intérêts,acc,3,661*,,,,
950,95,Pertes sur créances liées à des participations,acc,3,664*,,,,
960,96,Escomptes accordés,acc,3,665*,,,,
970,97,Pertes de change financières,acc,3,666*,,,,
980,98,Charges nettes sur cessions de valeurs mobilières de placement,acc,3,667*,,,,
990,99,Autres charges financières,acc,3,668*;669*;660*,,,,
1000,100,Dot. aux amort. - dép. et prov. - charges financières,acc,3,686*,,,,
1010,101,Charges financières,calc,1,,,=94+95+96+97+98+99+100,financial_expenses,
1020,102,RÉSULTAT FINANCIER,calc,1,,,=93+101,financial_result,
1030,103,Produits exceptionnels sur opérations de gestion,acc,3,771*,,,,
1040,104,En cours d'exercice - produits sur exercices antérieurs,acc,3,772*,,,,
1050,105,Opérations de constitution ou liquidation des fiducies,acc,3,774*,,,,
1060,106,Produits des cessions d'éléments d'actif,acc,3,775*,,,,
1070,107,Quote-part des subventions d'investissement virée au résultat de l'exercice,acc,3,777*,,,,
1080,108,Autres produits exceptionnels,acc,3,778*;779*;770*;773*;776*,,,,
1090,109,Reprises sur dép. et prov. + transf. de charges produits exceptionnels,acc,3,787*;797*,,,,
1100,110,Produits exceptionnels,calc,1,,,=103+104+105+106+107+108+109,exceptional_income,
1110,111,Charges exceptionnelles sur opérations de gestion,acc,3,671*,,,,
1120,112,En cours d'exercice - charges sur exercices antérieurs,acc,3,672*,,,,
1130,113,Opérations de constitution ou liquidation des fiducies,acc,3,674*,,,,
1140,114,Valeurs comptables des éléments d'actif cédés,acc,3,675*,,,,
1150,115,Autres charges exceptionnelles,acc,3,678*;679*;670*;673*;676*;677*,,,,
1160,116,Dot. aux amort. - dép. et prov. - charges exceptionnelles,acc,3,687*,,,,
1170,117,Charges exceptionnelles,calc,1,,,=111+112+113+114+115+116,exceptional_expenses,
1180,118,RÉSULTAT EXCEPTIONNEL,calc,1,,,=110+117,exceptional_result,
1190,119,Autres,acc,3,79*;78*;68*,791*;796*;797*;781*;786*;787*;681*;686*;687*,,,Autres comptes non pris en compte antérieurement
1200,120,Impôt sur les bénéfices,acc,3,695*;696*;697*;698*;699*,,,income_tax_expense,
1210,121,Participation des salariés aux résultats,acc,3,691*,,,,
1220,122,Autres,acc,3,690*;692*;693*;694*,,,,Autres comptes non pris en compte antérieurement
1230,123,RÉSULTAT NET,calc,0,,,=80+83+102+118+119+120+121+122,net_income,
